course,test,id_student,weight,score,weighted_score,total_weight_score,pass
CQ4,test1,26315,10.0,60.0,6.0,63.8,1
CQ4,test2,26315,20.0,72.0,14.4,63.8,1
CQ4,test3,26315,35.0,62.0,21.7,63.8,1
CQ4,test4,26315,35.0,62.0,21.7,63.8,1
CQ4,test1,32930,10.0,57.0,5.7,55.3,1
CQ4,test2,32930,20.0,59.0,11.8,55.3,1
CQ4,test3,32930,35.0,56.0,19.599999999999998,55.3,1
CQ4,test4,32930,35.0,52.0,18.2,55.3,1
CQ4,test1,39208,10.0,74.0,7.4,71.6,1
CQ4,test2,39208,20.0,69.0,13.8,71.6,1
CQ4,test3,39208,35.0,74.0,25.9,71.6,1
CQ4,test4,39208,35.0,70.0,24.5,71.6,1
CQ4,test1,41547,10.0,80.0,8.0,43.35,1
CQ4,test2,41547,20.0,63.0,12.600000000000001,43.35,1
CQ4,test3,41547,35.0,25.0,8.75,43.35,1
CQ4,test4,41547,35.0,40.0,14.0,43.35,1
CQ4,test1,57285,10.0,70.0,7.0,66.19999999999999,1
CQ4,test2,57285,20.0,72.0,14.4,66.19999999999999,1
CQ4,test3,57285,35.0,78.0,27.299999999999997,66.19999999999999,1
CQ4,test4,57285,35.0,50.0,17.5,66.19999999999999,1
CQ4,test1,58653,10.0,70.0,7.0,68.1,1
CQ4,test2,58653,20.0,71.0,14.200000000000001,68.1,1
CQ4,test3,58653,35.0,69.0,24.15,68.1,1
CQ4,test4,58653,35.0,65.0,22.75,68.1,1
CQ4,test1,59272,10.0,64.0,6.4,66.85,1
CQ4,test2,59272,20.0,66.0,13.200000000000001,66.85,1
CQ4,test3,59272,35.0,63.0,22.049999999999997,66.85,1
CQ4,test4,59272,35.0,72.0,25.2,66.85,1
CQ4,test1,63467,10.0,78.0,7.800000000000001,77.1,1
CQ4,test2,63467,20.0,84.0,16.8,77.1,1
CQ4,test3,63467,35.0,72.0,25.2,77.1,1
CQ4,test4,63467,35.0,78.0,27.299999999999997,77.1,1
CQ4,test1,70569,10.0,68.0,6.800000000000001,68.89999999999999,1
CQ4,test2,70569,20.0,76.0,15.200000000000001,68.89999999999999,1
CQ4,test3,70569,35.0,68.0,23.799999999999997,68.89999999999999,1
CQ4,test4,70569,35.0,66.0,23.099999999999998,68.89999999999999,1
CQ4,test1,71504,10.0,88.0,8.8,76.9,1
CQ4,test2,71504,20.0,85.0,17.0,76.9,1
CQ4,test3,71504,35.0,72.0,25.2,76.9,1
CQ4,test4,71504,35.0,74.0,25.9,76.9,1
CQ4,test1,98842,10.0,54.0,5.4,48.25,1
CQ4,test2,98842,20.0,48.0,9.600000000000001,48.25,1
CQ4,test3,98842,35.0,45.0,15.749999999999998,48.25,1
CQ4,test4,98842,35.0,50.0,17.5,48.25,1
CQ4,test1,103496,10.0,60.0,6.0,52.349999999999994,1
CQ4,test2,103496,20.0,55.0,11.0,52.349999999999994,1
CQ4,test3,103496,35.0,48.0,16.799999999999997,52.349999999999994,1
CQ4,test4,103496,35.0,53.0,18.549999999999997,52.349999999999994,1
CQ4,test1,106095,10.0,89.0,8.9,71.35,1
CQ4,test2,106095,20.0,69.0,13.8,71.35,1
CQ4,test3,106095,35.0,62.0,21.7,71.35,1
CQ4,test4,106095,35.0,77.0,26.95,71.35,1
CQ4,test1,106793,10.0,40.0,4.0,48.95,0
CQ4,test2,106793,20.0,48.0,9.600000000000001,48.95,0
CQ4,test3,106793,35.0,60.0,21.0,48.95,0
CQ4,test4,106793,35.0,41.0,14.35,48.95,0
CQ4,test1,108859,10.0,65.0,6.5,70.15,1
CQ4,test2,108859,20.0,68.0,13.600000000000001,70.15,1
CQ4,test3,108859,35.0,68.0,23.799999999999997,70.15,1
CQ4,test4,108859,35.0,75.0,26.25,70.15,1
CQ4,test1,109441,10.0,86.0,8.6,87.44999999999999,1
CQ4,test2,109441,20.0,88.0,17.6,87.44999999999999,1
CQ4,test3,109441,35.0,92.0,32.199999999999996,87.44999999999999,1
CQ4,test4,109441,35.0,83.0,29.049999999999997,87.44999999999999,1
CQ4,test1,110911,10.0,85.0,8.5,68.4,1
CQ4,test2,110911,20.0,65.0,13.0,68.4,1
CQ4,test3,110911,35.0,67.0,23.45,68.4,1
CQ4,test4,110911,35.0,67.0,23.45,68.4,1
