code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,id_assessment,date_submitted,is_banked,score,assessment_type,date,weight,sum_click,weighted_score
AAA,2013J,2344901,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,1755.0,166.0,0.0,59.0,TMA,166.0,20.0,445.0,11.8
AAA,2013J,1620151,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail,1754.0,121.0,0.0,70.0,TMA,117.0,20.0,998.0,14.0
AAA,2013J,2358056,F,North Region,HE Qualification,,0-35,0,60,N,Fail,1755.0,165.0,0.0,68.0,TMA,166.0,20.0,1588.0,13.600000000000001
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,1753.0,61.0,0.0,25.0,TMA,54.0,20.0,240.0,5.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,1756.0,216.0,0.0,66.0,TMA,215.0,30.0,1839.0,19.8
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1755.0,166.0,0.0,32.0,TMA,166.0,20.0,138.0,6.4
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,1753.0,53.0,0.0,53.0,TMA,54.0,20.0,65.0,10.600000000000001
AAA,2013J,2411661,F,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,Fail,1756.0,215.0,0.0,40.0,TMA,215.0,30.0,574.0,12.0
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,Fail,1753.0,106.0,0.0,60.0,TMA,54.0,20.0,1907.0,12.0
AAA,2013J,2594139,F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,1754.0,134.0,0.0,79.0,TMA,117.0,20.0,1868.0,15.8
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail,1760.0,127.0,0.0,59.0,TMA,117.0,20.0,1462.0,11.8
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,1755.0,166.0,0.0,74.0,TMA,166.0,20.0,301.0,14.8
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,1754.0,117.0,0.0,59.0,TMA,117.0,20.0,513.0,11.8
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,1754.0,116.0,0.0,66.0,TMA,117.0,20.0,1205.0,13.200000000000001
AAA,2013J,2358056,F,North Region,HE Qualification,,0-35,0,60,N,Fail,1752.0,19.0,0.0,56.0,TMA,19.0,10.0,1588.0,5.6000000000000005
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,1753.0,61.0,0.0,25.0,TMA,54.0,20.0,240.0,5.0
AAA,2013J,2678643,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,1755.0,166.0,0.0,62.0,TMA,166.0,20.0,2287.0,12.4
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,1753.0,53.0,0.0,53.0,TMA,54.0,20.0,65.0,10.600000000000001
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,1753.0,53.0,0.0,65.0,TMA,54.0,20.0,821.0,13.0
AAA,2013J,2586560,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,1753.0,53.0,0.0,65.0,TMA,54.0,20.0,2905.0,13.0
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,1754.0,116.0,0.0,68.0,TMA,117.0,20.0,292.0,13.600000000000001
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,1754.0,116.0,0.0,71.0,TMA,117.0,20.0,910.0,14.200000000000001
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,1752.0,18.0,0.0,82.0,TMA,19.0,10.0,466.0,8.200000000000001
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,1753.0,53.0,0.0,52.0,TMA,54.0,20.0,709.0,10.4
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,1754.0,117.0,0.0,83.0,TMA,117.0,20.0,5528.0,16.6
AAA,2013J,550383,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,1753.0,54.0,0.0,41.0,TMA,54.0,20.0,910.0,8.200000000000001
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,1756.0,215.0,0.0,69.0,TMA,215.0,30.0,998.0,20.7
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1759.0,61.0,0.0,32.0,TMA,54.0,20.0,1718.0,6.4
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,1756.0,215.0,0.0,54.0,TMA,215.0,30.0,1205.0,16.2
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,1754.0,124.0,0.0,40.0,TMA,117.0,20.0,333.0,8.0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,1752.0,18.0,0.0,60.0,TMA,19.0,10.0,1782.0,6.0
